@relation Megasena

@attribute dezena_1 numeric
@attribute dezena_2 numeric
@attribute dezena_3 numeric
@attribute dezena_4 numeric
@attribute dezena_5 numeric
@attribute dezena_6 numeric
@attribute acumulado {S,N}

@data
8,11,12,17,20,47,N
15,24,25,33,42,55,S
3,5,9,45,51,52,S
1,8,24,34,49,56,S
1,9,13,50,51,59,S
17,18,23,28,31,53,S
11,16,30,36,51,54,S
8,20,23,34,52,58,S
4,17,24,42,46,56,S
2,14,15,17,50,59,S
3,17,22,27,33,40,S
15,17,24,27,32,48,N
13,24,32,34,43,53,S
8,15,17,39,43,49,S
19,23,30,37,49,55,S
15,17,20,29,30,60,S
17,19,22,26,27,48,S
2,3,7,18,45,53,S
6,24,33,38,45,50,N
1,22,31,46,51,57,S
11,16,28,29,30,45,S
8,18,21,22,38,60,S
5,6,23,25,39,51,S
13,21,26,29,42,47,N
8,11,23,37,51,58,S
5,31,32,36,51,59,S
3,4,12,29,38,51,S
7,23,41,49,51,58,S
3,12,32,34,40,50,S
6,8,19,22,43,52,S
17,20,38,43,55,58,S
6,8,18,34,38,47,N
3,8,21,25,30,31,S
20,26,41,46,54,58,S
14,33,36,38,41,49,S
6,13,22,24,42,44,N
12,13,33,53,54,56,S
16,18,23,35,44,59,S
17,18,19,38,49,53,S
19,28,30,38,52,57,S
8,14,19,30,42,50,N
8,22,25,48,52,54,N
15,30,35,39,43,57,S
17,28,33,36,53,59,S
5,11,23,29,54,58,N
1,9,15,22,43,55,N
2,6,15,18,56,57,S
3,18,20,24,42,54,S
18,20,28,32,49,53,S
8,15,29,36,49,60,S
10,19,20,29,41,59,S
9,13,20,32,41,58,S
2,6,28,49,50,57,S
1,4,5,11,44,59,N
21,29,35,36,38,54,N
16,27,28,34,39,56,S
7,13,21,24,33,50,N
7,10,21,27,48,49,S
8,11,19,30,39,50,S
3,20,28,46,47,52,S
4,15,31,34,37,38,S
3,5,27,33,44,58,N
5,10,15,45,46,56,S
28,32,33,34,35,55,S
1,4,30,41,45,58,N
3,4,8,34,36,37,S
4,8,31,40,53,58,N
10,19,27,33,39,46,S
15,36,40,42,51,52,S
15,16,39,45,48,57,S
5,13,24,33,34,35,S
7,8,28,32,38,51,S
5,8,10,15,18,44,S
9,15,19,22,36,42,S
9,12,17,32,34,35,S
15,25,28,32,38,45,S
6,14,15,25,49,52,S
28,39,40,44,45,58,S
19,29,34,41,47,48,N
8,10,24,26,32,49,N
3,21,31,36,55,59,S
6,14,17,26,50,52,S
8,12,28,31,34,37,S
1,13,33,38,45,56,N
1,6,21,25,32,49,S
1,3,7,18,35,50,S
4,9,12,13,52,53,S
13,18,21,27,53,59,S
3,8,23,31,48,57,N
6,14,28,47,49,56,N
14,15,22,23,25,37,S
3,7,19,34,37,39,N
3,25,43,45,52,56,S
6,16,19,47,50,55,S
4,22,28,30,44,49,S
13,27,49,52,57,58,N
4,6,19,28,35,49,S
35,37,42,46,49,54,N
11,17,33,34,47,56,S
17,29,35,40,43,57,N
4,5,13,17,46,54,S
4,13,28,30,53,59,N
14,47,49,51,58,59,S
8,13,22,46,51,58,S
16,17,38,39,45,56,S
12,21,46,48,56,57,S
9,22,47,49,52,54,S
4,43,46,53,54,58,S
15,29,31,42,47,60,S
5,23,31,33,45,49,N
8,10,17,30,33,45,S
8,12,18,23,38,49,S
7,14,31,57,58,59,S
6,13,17,25,36,53,N
2,11,18,30,32,58,S
1,20,36,39,49,55,S
16,23,35,37,55,57,S
5,8,23,34,44,51,S
10,13,20,32,38,49,S
7,31,34,35,37,45,S
6,13,17,18,20,37,S
11,31,38,41,57,58,S
13,17,22,25,29,41,S
3,9,14,15,32,57,N
15,32,33,35,36,51,S
12,13,14,31,50,51,S
3,9,16,20,33,60,S
6,17,22,29,40,59,S
2,10,17,23,32,44,S
5,18,21,29,35,48,N
7,8,18,39,43,52,S
8,23,24,28,31,47,S
3,18,23,48,56,58,N
4,9,15,17,34,39,N
15,16,18,28,38,47,S
14,17,25,30,39,52,N
13,29,40,45,51,59,S
6,7,20,41,43,55,S
7,8,23,30,32,53,S
12,24,33,36,39,57,N
11,13,38,39,45,54,S
2,18,29,30,36,60,S
11,13,45,46,53,55,S
6,7,8,13,33,59,S
4,5,18,25,28,51,S
1,3,18,34,50,58,S
13,14,42,47,55,59,S
1,25,27,29,49,59,S
10,13,29,47,53,55,S
1,2,25,43,50,54,S
11,14,28,43,54,60,S
22,27,29,40,42,56,S
5,16,34,38,50,53,N
4,6,9,23,45,51,S
16,18,31,34,39,54,S
10,19,22,29,30,37,S
7,13,38,46,55,60,S
4,8,11,12,29,44,N
15,25,41,46,49,51,S
4,24,44,49,52,53,S
6,23,32,35,41,55,N
6,11,19,27,41,59,S
6,13,19,24,30,37,S
2,6,15,58,59,60,S
25,30,43,45,47,49,S
16,21,22,33,48,49,S
15,18,33,50,53,55,S
6,13,19,44,54,55,S
12,16,31,48,57,60,S
5,8,10,27,31,51,S
2,12,16,24,26,54,S
3,5,25,33,36,49,N
3,8,10,13,24,60,S
8,12,14,16,19,46,S
1,3,13,22,29,32,S
26,29,31,49,50,57,S
19,27,29,38,50,59,S
9,23,30,42,49,55,S
8,23,34,39,43,52,N
12,24,32,40,42,59,S
7,8,18,22,39,49,S
1,13,19,45,56,58,S
8,16,22,30,56,58,N
15,16,39,40,47,51,N
12,16,20,45,53,60,S
1,20,28,32,44,47,N
2,19,28,48,51,54,S
5,11,22,27,46,50,S
10,13,24,41,42,56,S
8,20,26,37,42,49,S
26,28,30,32,34,50,S
11,18,43,48,52,58,S
10,11,36,41,42,50,S
13,35,39,45,51,60,S
12,19,42,46,59,60,S
1,9,13,17,33,34,N
17,36,40,44,51,56,S
14,24,37,40,42,45,S
14,27,29,31,34,57,S
3,24,48,52,53,54,S
10,13,32,47,49,60,S
11,12,14,19,54,56,N
5,23,29,42,45,48,N
9,24,33,41,48,54,S
10,24,25,29,53,59,S
26,28,39,45,48,60,S
10,18,20,24,56,57,S
5,9,19,24,31,34,S
6,10,11,40,41,56,N
1,26,37,39,43,48,S
35,36,37,46,51,59,S
16,20,33,58,59,60,N
3,6,11,20,36,41,S
14,29,34,40,51,52,S
5,11,38,46,53,54,S
4,27,36,40,42,55,S
4,18,23,25,56,60,S
1,27,30,49,51,55,S
1,12,36,38,55,59,S
7,8,18,25,47,48,S
7,16,26,29,45,55,S
1,4,5,16,23,49,N
1,2,14,33,49,56,S
7,24,27,40,41,49,N
22,37,42,48,58,59,S
9,16,27,38,39,51,S
24,28,34,38,43,53,S
6,11,20,34,37,40,S
18,22,29,32,38,42,S
24,25,30,42,43,50,S
9,15,32,41,42,49,S
8,10,25,32,48,55,S
14,31,40,42,44,46,S
3,21,25,37,54,58,N
2,3,5,22,26,44,S
21,25,38,53,58,59,S
4,27,36,37,47,60,S
2,11,12,35,40,43,S
17,19,33,37,40,50,S
5,12,27,33,43,56,N
4,5,15,26,33,54,S
1,7,14,41,48,59,S
11,21,30,35,47,52,S
6,7,31,49,51,60,S
8,12,15,41,47,53,S
8,16,37,50,55,58,S
11,18,33,57,58,60,S
13,14,17,31,41,50,S
15,19,29,37,41,53,S
6,11,13,21,40,52,S
9,16,34,37,53,57,N
28,31,32,35,51,53,S
8,12,22,27,43,55,S
17,23,48,50,53,54,S
2,3,14,24,31,40,S
1,13,23,31,48,60,S
1,18,45,56,57,58,S
2,11,24,27,30,45,S
2,4,18,27,34,50,S
3,11,13,15,26,43,S
2,7,10,17,22,60,S
1,8,10,36,43,51,N
7,9,13,39,45,47,S
4,6,9,22,29,44,S
5,25,34,39,46,49,S
5,10,33,40,41,59,S
7,8,35,43,53,58,S
1,12,16,26,46,54,S
7,8,17,35,39,53,S
4,12,24,33,36,54,N
2,7,16,29,32,50,N
6,17,23,28,35,41,S
7,21,33,35,39,58,S
3,32,37,39,47,53,S
12,31,44,51,54,56,S
3,14,23,25,36,55,S
9,18,36,44,57,60,S
1,6,16,36,50,52,S
17,27,34,48,51,55,S
3,9,35,37,41,49,N
1,5,7,37,40,47,S
4,12,14,30,42,59,S
8,13,24,32,42,44,S
5,18,33,43,56,57,N
2,15,16,45,50,54,S
6,15,16,23,28,35,S
6,17,19,49,50,53,S
2,12,26,31,43,46,S
27,29,43,44,45,54,N
9,15,38,40,42,52,S
1,21,38,41,49,56,S
11,12,24,32,33,38,S
14,15,26,30,42,54,S
6,10,35,45,49,56,S
12,16,28,29,47,50,N
24,26,27,36,39,59,S
2,7,17,34,41,50,S
20,23,25,32,54,60,S
4,12,23,26,39,46,S
2,16,21,37,43,57,S
1,10,12,25,49,57,N
2,3,12,21,23,56,S
1,2,7,19,35,51,S
4,24,47,48,50,57,S
10,17,33,42,54,58,S
4,7,20,25,38,50,S
4,23,24,25,29,42,S
2,7,22,35,43,59,N
3,4,13,34,42,50,S
4,12,30,47,49,59,S
5,27,37,38,41,50,S
12,17,18,30,32,58,S
1,23,36,43,47,59,S
30,31,39,45,48,59,S
12,17,44,45,46,60,S
13,17,27,29,40,56,S
9,12,21,37,39,54,S
1,9,26,40,47,48,S
3,7,45,47,53,55,N
3,10,16,30,37,50,S
1,19,24,42,50,58,S
15,22,32,38,50,54,S
4,8,30,33,37,59,N
12,16,20,21,29,50,S
4,12,25,34,35,48,S
14,21,29,34,46,47,S
10,35,38,51,52,60,S
3,5,14,29,34,51,S
5,10,37,46,54,58,N
12,27,42,46,47,50,S
3,15,35,41,57,60,S
2,14,23,28,50,56,S
20,31,36,37,45,51,S
25,26,29,36,52,54,S
7,10,28,50,51,59,S
8,10,13,39,54,56,S
2,11,23,35,42,59,S
4,8,21,32,43,48,N
8,27,37,42,53,56,S
5,8,17,35,37,48,N
10,11,26,27,31,41,S
20,31,34,37,54,60,S
17,19,29,31,44,57,S
6,31,38,39,50,60,S
2,6,19,22,28,43,S
9,14,19,35,42,58,N
9,29,34,43,45,56,S
3,15,16,33,51,57,S
3,38,42,47,55,56,S
14,21,26,29,36,48,S
5,19,24,34,39,43,S
6,12,47,48,52,58,S
3,4,9,29,32,52,S
19,29,35,42,55,57,S
1,7,11,37,38,56,S
11,19,20,22,42,48,S
6,14,18,24,48,60,S
3,5,10,21,28,57,S
3,13,37,47,56,59,N
2,30,36,43,48,60,S
18,26,35,41,47,60,S
2,8,27,32,49,56,S
2,15,21,31,46,57,S
5,11,15,23,25,30,S
1,4,5,33,37,48,S
10,28,32,41,47,57,N
11,13,38,39,54,57,S
9,15,23,45,46,56,S
2,8,11,41,46,50,S
9,19,37,39,50,57,S
20,21,30,40,47,52,S
10,29,30,34,43,52,S
8,9,22,25,41,44,S
5,19,25,46,51,58,S
10,17,21,32,45,46,N
4,29,33,36,38,42,S
4,10,17,27,41,52,S
1,15,26,51,54,59,S
6,7,9,20,33,48,S
10,21,28,40,41,47,S
6,7,8,27,45,53,S
18,24,30,42,51,56,S
23,28,38,42,50,53,S
10,14,32,47,50,56,S
2,13,41,49,51,53,S
3,32,33,42,48,50,S
15,17,23,33,39,49,N
13,16,46,53,57,58,S
10,16,17,34,44,51,N
18,31,33,49,57,58,S
17,22,28,38,52,59,S
5,6,16,24,34,60,N
9,23,30,38,44,47,S
7,8,11,18,37,43,S
17,29,31,35,43,59,S
7,22,32,36,38,51,S
7,9,30,44,51,60,S
1,16,34,36,45,48,S
16,24,34,44,54,57,S
14,19,20,40,48,52,S
2,3,44,47,50,54,S
14,15,27,42,44,48,N
17,27,32,34,47,56,N
8,9,39,44,49,58,S
7,22,25,44,59,60,S
3,16,19,32,35,58,N
6,14,23,34,38,44,S
30,38,46,51,56,59,S
3,17,24,25,27,44,S
3,24,31,42,43,53,S
11,15,40,41,42,47,S
2,3,17,49,50,59,S
4,18,23,31,37,54,N
9,12,34,46,47,57,S
2,8,17,22,42,44,S
39,40,42,47,59,60,N
2,8,11,12,19,35,N
15,24,32,50,53,57,S
8,11,31,33,42,57,S
23,26,27,41,51,53,S
5,27,36,40,46,48,S
10,19,26,28,44,54,S
21,22,25,40,51,57,S
27,29,42,49,50,51,N
8,21,34,40,43,52,S
1,5,10,17,47,58,S
5,18,31,43,55,58,S
4,19,30,34,57,59,S
10,20,42,44,52,59,S
18,20,24,36,53,58,N
4,8,12,41,45,60,S
13,15,20,28,31,36,S
11,12,37,38,43,54,S
10,28,29,35,42,46,S
25,30,37,46,49,51,S
4,18,24,43,51,56,S
17,41,42,44,45,60,N
21,32,37,52,53,60,S
2,11,12,14,22,39,S
4,13,31,33,47,51,S
17,33,37,50,55,59,S
1,12,21,32,34,44,S
24,40,50,52,54,60,N
20,24,34,39,54,60,S
7,9,17,21,22,54,S
15,16,19,22,34,35,S
1,19,42,44,49,52,S
3,18,26,51,53,56,S
20,24,28,37,41,44,S
2,41,43,55,57,58,S
5,11,22,31,35,41,S
7,21,22,43,46,57,S
3,4,8,30,45,54,N
18,20,36,53,54,58,S
4,18,21,34,38,59,N
13,16,32,33,34,56,S
18,23,50,52,55,58,S
5,17,20,32,41,55,S
32,44,48,51,53,59,S
2,4,15,16,55,57,N
7,14,24,29,35,39,N
9,36,37,41,51,53,S
1,9,19,25,50,52,S
17,22,26,28,38,42,S
3,15,27,29,36,53,S
1,6,28,29,46,49,N
4,19,21,26,29,54,S
14,30,36,38,46,59,N
9,12,23,33,45,51,S
17,20,26,28,48,49,N
5,28,33,36,37,38,S
23,25,30,46,47,59,S
4,8,12,38,44,52,S
3,25,31,41,43,60,S
5,17,24,52,55,57,S
1,9,35,41,48,57,S
12,13,19,41,45,49,S
2,15,39,50,53,57,S
2,20,21,27,51,60,S
8,22,36,37,46,52,N
21,33,34,40,41,59,S
19,23,26,31,33,36,S
4,10,32,33,49,60,N
16,27,35,39,49,57,S
20,28,37,46,49,55,S
7,17,19,34,36,39,S
2,17,21,36,42,53,N
8,14,25,39,45,51,S
1,3,21,25,44,48,S
7,13,18,29,31,45,S
5,14,22,29,33,44,N
2,21,22,30,41,52,S
15,27,35,50,57,59,S
6,19,23,37,49,50,S
5,25,31,33,37,51,S
10,11,15,27,53,60,S
5,8,18,42,52,59,S
3,12,23,41,47,58,N
16,37,43,52,58,59,S
4,8,27,44,54,59,S
1,5,12,47,52,59,S
3,5,11,14,33,58,N
22,41,44,46,52,54,S
1,23,41,44,51,52,S
23,41,42,48,49,59,S
14,24,34,39,49,55,S
2,11,18,27,30,54,S
1,16,39,42,48,55,N
5,8,18,24,33,57,S
5,12,21,32,33,35,N
46,47,51,54,57,59,N
24,25,32,34,50,57,S
7,13,22,33,48,51,N
3,5,11,33,39,57,S
6,18,19,33,34,53,S
2,4,16,21,36,53,S
2,11,40,48,49,55,N
15,17,37,48,50,59,S
8,13,20,26,33,42,S
5,30,36,39,57,58,S
1,4,26,28,41,58,S
5,13,14,18,30,57,S
1,4,13,30,51,60,S
13,25,35,41,50,56,N
5,21,28,34,54,57,N
4,11,14,33,44,45,S
15,18,31,33,34,56,N
1,8,30,36,47,53,S
12,16,20,31,38,45,S
9,30,33,37,40,41,S
14,23,25,28,38,53,S
3,5,7,9,17,32,N
12,16,18,27,42,58,S
3,15,28,31,39,51,S
15,17,29,35,36,59,S
1,8,34,41,53,58,S
8,12,24,40,43,49,S
16,22,32,38,40,45,N
4,10,20,43,46,47,S
4,16,18,46,56,59,S
